0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;11
29;11
30;20
31;14
32;22
33;21
34;22
35;39
36;38
37;56
38;59
39;73
40;53
41;64
42;108
43;129
44;136
45;113
46;68
47;97
48;98
49;203
50;204
51;181
52;204
53;205
54;109
55;111
56;166
57;152
58;403
59;345
60;334
61;189
62;337
63;473
64;428
65;419
66;428
67;394
68;301
69;295
70;582
71;611
72;610
73;714
74;700
75;481
76;387
77;879
78;741
79;836
80;823
81;805
82;485
83;656
84;1164
85;806
86;1140
87;994
88;908
89;648
90;806
91;1029
92;1070
93;1129
94;1123
95;928
96;477
97;619
98;1251
99;1268
100;1397
101;979
102;895
103;523
104;673
105;1211
106;1245
107;1145
108;904
109;876
110;586
111;617
112;1258
113;1265
114;1236
115;1206
116;1003
117;579
118;650
119;1273
120;1159
121;1075
122;963
123;1036
124;552
125;686
126;1217
127;1021
128;1246
129;1277
130;1088
131;568
132;604
133;1231
134;1197
135;1203
136;1158
137;1048
138;629
139;711
140;1291
141;1231
142;1230
143;1107
144;908
145;680
146;628
147;1364
148;1271
149;1296
150;1124
151;1201
152;539
153;607
154;891
155;1303
156;1123
157;1204
158;1043
159;522
160;523
161;1153
162;1373
163;1190
164;1034
165;872
166;556
167;694
168;1245
169;1150
170;1200
171;1026
172;704
173;608
174;683
175;1305
176;1182
177;1184
178;967
179;885
180;491
181;547
182;1193
183;1042
184;945
185;841
186;943
187;341
188;551
189;1181
190;1154
191;804
192;847
193;672
194;446
195;309
196;504
197;1056
198;959
199;837
200;795
201;412
202;354
203;1087
204;955
205;825
206;814
207;739
208;353
209;377
210;832
211;852
212;822
213;729
214;867
215;324
216;307
217;803
218;952
219;715
220;694
221;586
222;351
223;321
224;813
225;707
226;700
227;660
228;545
229;290
230;200
231;303
232;710
233;706
234;744
235;457
236;227
237;269
238;638
239;558
240;490
241;530
242;424
243;231
244;263
245;534
246;496
247;511
248;498
249;386
250;189
251;172
252;238
253;595
